id	en	zh
v0668	The plane made a perfect landing.	這架飛機完美的著陸了。
v0670	Is that a bat?	那是隻蝙蝠嗎？
v0671	The fire alarm rang.	火警警報響了。
v0672	I'm losing my grip.	我失去了控制。
v0673	Happy Moon Festival!	中秋節快樂。
v0674	He began to sweat.	他開始出汗了。
v0675	Have you ever been to outer space?	你去過外層空間嗎？
v0677	He is drunk.	他醉了。
v0678	One day apart seems like a separation of three years.	一日不見如隔三秋。
v0681	He studies French and web design.	他又學法語，又學怎麼做網站。
v0683	Tom is intelligent.	湯姆很聰明。
v0684	The USA is a republic.	美國是一個共和國。
v0685	Sit wherever you like.	你愛坐哪裡就坐哪裡。
v0686	To govern a country is no easy job.	統治一個國家不是一個簡單活。
v0687	It's driving me crazy.	快把我逼瘋了
v0689	We almost had Tom convinced.	我們差不多說服Tom了。
v0690	Oranges are rich in vitamin C.	香橙含有豐富的維他命 C。
v0691	Enthusiasm is contagious.	熱情具有傳染性。
v0692	The motel can accommodate as many as 400 guests.	汽車旅館可以接待多達400名客人。
v0693	Praise the Lord!	讚美主。
v0694	The universe is endless.	宇宙無窮無盡。
v0697	The world is in chaos.	世界處於混沌之中。
v0699	I got a piece of lead for my mechanical pencil from her.	我從她那裡拿了一根自動鉛筆芯。
v0702	He is past forty.	他已經超過四十歲了。
v0703	Tom wrote a very profound report.	湯姆寫了篇非常有深度的報道。
v0704	I have a friend waiting for me in the lobby.	有個朋友正在大堂等我。
v0706	What is the currency of Taiwan?	臺灣的貨幣是什麼 ?
v0707	He'll apologize.	他會道歉的。
v0708	I want to reserve a room.	我想預定一個房間。
v0709	I'm checking for laser beam alarm triggers.	我在檢查這裡有沒有雷射警報裝置。
v0714	I believe it is a genuine Picasso.	我認為是一幅畢加索的原畫。
v0715	My grandmother has a green thumb.	我祖母是個園藝巧手。
v0716	Unity, justice and freedom are the pledge of fortune.	團結、公正和自由是幸福的保證。
v0717	How horrible!	真糟糕！
v0718	Can we effect a compromise?	我們不如各退一步吧。
v0722	Don't scatter your things about.	不要把你的東西四處亂放。
v0723	Women commonly live longer than men.	女性通常比男性長壽。
v0724	Wires are used to convey electricity.	電線被用來運送電力。
v0725	He's contemplating the complexity of contemporary life.	他思考著現代生活的複雜性。
v0726	I'd like a fork.	我想要一把叉子。
v0727	Don't twist my words.	不要扭曲我說的話。
v0728	I've formatted your hard disk by mistake.	我不小心格式化了你的硬碟。
v0729	I have a suspicion about his death.	我覺得他的死有點可疑。
v0730	How do you relieve stress?	你怎麼釋放壓力？
v0732	What a shame!	真丟人！
v0733	She gave me a meaningful look.	她意味深長地看了我一眼。
v0734	Tom is sweeping the sidewalk.	湯姆正在清掃人行道。
v0736	Have a pleasant trip.	祝你一路上玩得愉快。
v0737	This letter has no signature.	這封信沒署名。
v0738	Suspend the game.	禁止遊戲。
v0739	Who doesn't love a rebel?	誰不喜歡反叛者呢？
v0740	Tom found a wonderful spouse in Mary.	湯姆認識了瑪莉這麼個好老婆。
v0741	It's frozen hard.	真的很冰冷。
v0742	A proper test does not allow the use of correction fluid.	正規的考試不允許使用塗改液。
v0743	I asked the company for his resume.	我向他公司詢問了他的經歷。
v0744	The Greeks invented a theoretical model of geometry.	希臘人建立了幾何學的理論模型。
v0745	Sodium bicarbonate is commonly known as baking soda.	碳酸氫鈉通常被稱為小蘇打。
v0746	People over 65 can receive a pension from the government.	過65歲的人就可以從政府那裡領退休金了。
v0747	He got a promotion.	他升職了。
v0748	That's a delicate matter.	那是個微妙的局勢。
v0749	Come feel my forehead.	讓我摸摸你的額頭。
v0750	Tom is an electrical engineer.	湯姆是一個電子工程師。
v0751	Can Tebboune rebuild Algeria?	特布恩能重建阿爾及利亞嗎？
v0752	Let me off the hook.	放過我吧。
v0753	You'll bounce back.	你會東山再起的。
v0754	I'm a detective.	我是個偵探。
v0755	Did you hear the click?	你聽到了點選聲嗎？
v0756	The traveler was delighted at the sight of a light in the distance.	發現了遠處的燈光的旅行者歡喜不已。
v0758	Here is the exit!	出口在這裡！
v0760	The coral reef is the region's prime attraction.	珊瑚礁是這個地區的主要景點。
v0761	That isn't altogether false.	那不全是錯的。
v0764	She's handy with a needle.	她擅長針線活。
v0765	I hit him in the belly.	我打了他的肚子。
v0766	Wolves scare me.	狼嚇到了我。
v0767	Nice timing.	好時機。
v0769	How long does it take for the airport shuttle to get to the airport?	穿梭班車到機場需要多長時間？
v0770	Air is invisible.	空氣是無形的。
v0772	Tom sprained his ankle.	湯姆崴了他的腳。
v0773	He came to my rescue.	他拯救了我。
v0776	We had a mild winter last year.	去年冬天很暖和。
v0777	It is just noon.	現在才中午。
v0778	He is identical to his older brother.	他跟哥哥一模一樣。
v0779	I made Ann a doll.	我做了一個洋娃娃給安。
